household_code,id_member,interview_datetime,cashflow_date,account_name,root_category,cf_category,cf_type,cf_direction,cf_bsheet_direction,agrprodtype,value,cashflow_mode,unitsgoodservice,valueifinkind
MONEM65,5,10/10/2014 8:21:00,10/3/2014,,Operational Expenses,Clothes and shoes,Purchases,Out,,,100,01=Cash,,
MONEM65,3,8/1/2014 10:00:00,8/1/2014,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,1400,\N,,
MONEM65,3,4/27/2015 7:30:00,4/22/2015,,Operational Expenses,Alcohol purchased (either in home or at pub),Purchases,Out,,,50,01=Cash,,
MONEM65,3,10/29/2014 9:55:00,10/27/2014,,Operational Expenses,Clothes and shoes,Purchases,Out,,,200,01=Cash,,
MONEM65,5,3/22/2015 13:01:00,3/21/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,80,01=Cash,,
MONEM65,3,4/27/2015 7:30:00,4/23/2015,,Operational Expenses,Matches,Purchases,Out,,,5,01=Cash,,
MONEM65,3,12/5/2014 13:33:00,11/28/2014,,Operational Expenses,Medicines,Purchases,Out,,,100,01=Cash,,
MONEM65,3,2/4/2015 9:05:00,1/25/2015,,Cash,"Cash lost , stolen, missing","Cash lost, stolen, or otherwise missing",Out,,,2300,\N,,
MONEM65,3,4/27/2015 7:30:00,4/23/2015,,Operational Expenses,"Soap, laundry soap, dish soap",Payments,Out,,,20,01=Cash,,
MONEM65,3,8/1/2014 10:00:00,7/29/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM65,5,3/22/2015 13:01:00,3/17/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM65,5,3/22/2015 13:01:00,3/15/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM65,3,10/10/2014 8:21:00,10/8/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,15,01=Cash,,
MONEM65,,12/5/2014 13:33:00,11/26/2014,AGRI01,Operational Income,Agricultural Income,2. Labour (workers on fields),Out,,12= Peanut,200,01=Cash,,
MONEM65,,6/15/2015 12:01:00,6/2/2015,AGRI01,Operational Income,Agricultural Income,1. Agricultural Revenues (Sales),In,,12= Peanut,600,01=Cash,,
MONEM65,3,7/18/2014 8:30:00,7/12/2014,AGRI08,Operational Income,Agricultural Income,1. Agricultural Revenues (Sales),In,,"05=Vegetables (ex: tomato, onion, sukuma, sweet potato, potato, etc.)",120,01=Cash,,
MONEM65,3,2/4/2015 9:05:00,1/20/2015,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,2600,01=Cash,,
MONEM65,3,3/2/2015 11:50:00,2/27/2015,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,200,01=Cash,,
MONEM65,3,6/30/2015 14:55:00,6/17/2015,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,500,01=Cash,,
MONEM65,3,10/10/2014 8:21:00,9/29/2014,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,300,01=Cash,,
MONEM65,3,8/1/2014 10:00:00,7/29/2014,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,500,01=Cash,,
MONEM65,3,4/15/2015 10:01:00,4/4/2015,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,300,01=Cash,,
MONEM65,3,8/20/2014 10:05:00,8/18/2014,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,600,01=Cash,,
MONEM65,3,3/22/2015 13:01:00,3/12/2015,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,650,01=Cash,,
MONEM65,3,10/29/2014 9:55:00,10/25/2014,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,500,01=Cash,,
MONEM65,3,3/2/2015 11:50:00,2/27/2015,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,0,"10=In-kind (trade, good, service--NOT MONEY)",10kg de farinha de milho,200
MONEM65,3,1/10/2015 9:05:00,12/30/2014,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,100,01=Cash,,
MONEM65,3,7/18/2014 8:30:00,7/10/2014,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,1000,01=Cash,,
MONEM65,3,4/27/2015 7:30:00,4/15/2015,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,200,01=Cash,,
MONEM65,,3/2/2015 11:50:00,1/18/2015,CI01,Operational Income,Casual employment,"1. Income, wages, tips, comissions",In,,,50,01=Cash,,
MONEM65,3,12/5/2014 13:33:00,12/3/2014,OI01,Operational Income,Other income generating activity,1. Income,In,,,500,01=Cash,,
MONEM65,3,4/27/2015 7:30:00,4/22/2015,OI01,Operational Income,Other income generating activity,1. Income,In,,,500,01=Cash,,
MONEM65,3,8/20/2014 10:05:00,8/19/2014,OI01,Operational Income,Other income generating activity,1. Income,In,,,500,01=Cash,,
MONEM65,3,6/30/2015 14:55:00,6/30/2015,OOB01,Financial,Friends and Family: Borrowing,7. Closing Balance--End of last DQ,,,,100,16=CLOSING BALANCE,,
MONEM65,3,6/30/2015 14:55:00,6/22/2015,OOB01,Financial,Friends and Family: Borrowing,1. Starting balance (today),,Increase,,100,15=STARTING BALANCE,,
MONEM65,3,10/10/2014 8:21:00,9/25/2014,RG01,Operational Income,Resources given outside the household,Resources given,Out,,,0,"10=In-kind (trade, good, service--NOT MONEY)",10kg de amendoim,150
MONEM65,3,3/22/2015 13:01:00,3/17/2015,RG01,Operational Income,Resources given outside the household,Resources given,Out,,,600,01=Cash,,
MONEM65,3,1/10/2015 9:05:00,12/29/2014,RG01,Operational Income,Resources given outside the household,Resources given,Out,,,0,"10=In-kind (trade, good, service--NOT MONEY)",1kg de amendoim,15
MONEM65,3,12/5/2014 13:33:00,11/25/2014,RG01,Operational Income,Resources given outside the household,Resources given,Out,,,0,"10=In-kind (trade, good, service--NOT MONEY)",25kg de batata,300
MONEM65,3,9/2/2014 10:14:00,9/1/2014,RG01,Operational Income,Resources given outside the household,Resources given,Out,,,100,01=Cash,,
MONEM65,3,12/5/2014 13:33:00,11/25/2014,RG01,Operational Income,Resources given outside the household,Resources given,Out,,,0,"10=In-kind (trade, good, service--NOT MONEY)",5kg de amendoim,75
MONEM65,3,9/15/2014 11:11:00,9/10/2014,RG01,Operational Income,Resources given outside the household,Resources given,Out,,,0,"10=In-kind (trade, good, service--NOT MONEY)",25kg de batata,300
MONEM65,3,9/15/2014 11:11:00,8/26/2014,RG01,Operational Income,Resources given outside the household,Resources given,Out,,,0,"10=In-kind (trade, good, service--NOT MONEY)",2kg de amendoim,30
MONEM65,3,9/2/2014 10:14:00,8/29/2014,RG01,Operational Income,Resources given outside the household,Resources given,Out,,,0,"10=In-kind (trade, good, service--NOT MONEY)",5kg de batata,60
MONEM65,3,3/2/2015 11:50:00,2/20/2015,RG02,Operational Income,Resources given outside the household,Resources given,Out,,,0,"10=In-kind (trade, good, service--NOT MONEY)",2metros de tecido,50
MONEM65,3,6/30/2015 14:55:00,6/23/2015,SIH02,Financial,Keeping Money (Cash) at Home,2. Deposits,Out,Increase,,500,01=Cash,,
MONEM65,3,1/10/2015 9:05:00,12/24/2014,SIH02,Financial,Keeping Money (Cash) at Home,3. Withdrawals,In,Decrease,,505,01=Cash,,
MONEM65,3,6/30/2015 14:55:00,6/30/2015,SIH02,Financial,Keeping Money (Cash) at Home,5. Closing Balance--End of last DQ,,,,1500,16=CLOSING BALANCE,,
MONEM65,3,9/15/2014 11:11:00,9/10/2014,SIH02,Financial,Keeping Money (Cash) at Home,3. Withdrawals,In,Decrease,,100,01=Cash,,
MONEM65,3,4/27/2015 7:30:00,4/22/2015,SIH02,Financial,Keeping Money (Cash) at Home,2. Deposits,Out,Increase,,500,01=Cash,,
MONEM65,3,6/15/2015 12:01:00,6/5/2015,SIH02,Financial,Keeping Money (Cash) at Home,2. Deposits,Out,Increase,,500,16=CLOSING BALANCE,,
MONEM65,3,10/29/2014 9:55:00,10/28/2014,SIH02,Financial,Keeping Money (Cash) at Home,2. Deposits,Out,Increase,,955,01=Cash,,
MONEM65,3,7/14/2014 14:00:00,7/14/2014,SIH02,Financial,Keeping Money (Cash) at Home,1. Starting balance (today),,Increase,,1000,15=STARTING BALANCE,,
MONEM65,3,12/5/2014 13:33:00,11/26/2014,SIH02,Financial,Keeping Money (Cash) at Home,3. Withdrawals,In,Decrease,,200,01=Cash,,
MONEM65,3,9/2/2014 10:14:00,8/27/2014,SIH02,Financial,Keeping Money (Cash) at Home,3. Withdrawals,In,Decrease,,200,01=Cash,,
MONEM65,3,9/29/2014 10:00:00,9/20/2014,SIH02,Financial,Keeping Money (Cash) at Home,3. Withdrawals,In,Decrease,,150,01=Cash,,
MONEM65,3,3/22/2015 13:01:00,3/22/2015,SIH02,Financial,Keeping Money (Cash) at Home,1. Starting balance (today),,Increase,,0,15=STARTING BALANCE,,
MONEM65,3,3/2/2015 11:50:00,1/17/2015,SIH02,Financial,Keeping Money (Cash) at Home,"4. Money lost, missing, stolen",,Decrease,,800,01=Cash,,
MONEM67,8,11/5/2014 11:55:00,11/4/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,11,11/5/2014 11:55:00,11/3/2014,,Physical Asset,Commercial  (for work or business),1. Purchase,Out,Increase,,800,01=Cash,,
MONEM67,11,2/20/2015 10:01:00,2/17/2015,,Operational Expenses,"Rickshaws, buses, other public transport",Payments,Out,,,50,01=Cash,,
MONEM67,11,7/31/2014 12:50:00,7/28/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,30,01=Cash,,
MONEM67,10,10/30/2014 13:00:00,10/19/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,5,01=Cash,,
MONEM67,8,1/22/2015 9:00:00,1/19/2015,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,5,01=Cash,,
MONEM67,8,11/27/2014 10:05:00,11/23/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM67,11,5/12/2015 11:30:00,4/30/2015,,Operational Expenses,Milling,Purchases,Out,,,20,01=Cash,,
MONEM67,11,8/13/2014 10:53:00,8/7/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,11,11/5/2014 11:55:00,11/5/2014,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,200,\N,,
MONEM67,8,11/27/2014 10:05:00,11/20/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,8,1/22/2015 9:00:00,1/21/2015,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,5,01=Cash,,
MONEM67,8,1/22/2015 9:00:00,1/17/2015,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,5,01=Cash,,
MONEM67,11,1/22/2015 9:00:00,1/15/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,100,01=Cash,,
MONEM67,8,2/5/2015 8:40:00,2/1/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,11,5/12/2015 11:30:00,5/9/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,8,8/29/2014 11:00:00,8/22/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,10,01=Cash,,
MONEM67,8,2/20/2015 10:01:00,2/15/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,8,2/5/2015 8:40:00,2/4/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,11,7/31/2014 12:50:00,7/18/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,30,01=Cash,,
MONEM67,11,8/13/2014 10:53:00,8/1/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,20,01=Cash,,
MONEM67,8,2/20/2015 10:01:00,2/9/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,30,01=Cash,,
MONEM67,10,10/30/2014 13:00:00,10/22/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,5,01=Cash,,
MONEM67,8,11/27/2014 10:05:00,11/16/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,10,10/30/2014 13:00:00,10/28/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,5,01=Cash,,
MONEM67,11,10/1/2014 10:00:00,9/30/2014,,Physical Asset,Commercial  (for work or business),1. Purchase,Out,Increase,,900,01=Cash,,
MONEM67,11,5/12/2015 11:30:00,4/30/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,10,01=Cash,,
MONEM67,8,6/25/2015 11:00:00,6/24/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM67,8,10/30/2014 13:00:00,10/29/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,11,5/12/2015 11:30:00,4/23/2015,,Operational Expenses,Clothes and shoes,Purchases,Out,,,150,01=Cash,,
MONEM67,8,6/25/2015 11:00:00,6/7/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,11,1/22/2015 9:00:00,1/19/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,11,7/16/2014 12:58:00,7/10/2014,,Operational Expenses,Diapers and other baby supplies,Purchases,Out,,,200,01=Cash,,
MONEM67,11,7/31/2014 12:50:00,7/21/2014,,Operational Expenses,"Gas (for cooking), paraffin, charcoal, etc.",Purchases,Out,,,50,01=Cash,,
MONEM67,11,5/12/2015 11:30:00,4/27/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,11,8/29/2014 11:00:00,8/29/2014,,Operational Expenses,Clothes and shoes,Purchases,Out,,,80,01=Cash,,
MONEM67,11,7/31/2014 12:50:00,7/25/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,8,4/20/2015 8:09:00,4/18/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,11,8/13/2014 10:53:00,8/5/2014,,Operational Expenses,Clothes and shoes,Purchases,Out,,,120,01=Cash,,
MONEM67,8,2/20/2015 10:01:00,2/11/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,11,7/31/2014 12:50:00,7/23/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,8,8/29/2014 11:00:00,8/17/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,10,01=Cash,,
MONEM67,8,2/20/2015 10:01:00,2/7/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,11,1/22/2015 9:00:00,1/19/2015,,Operational Expenses,Clothes and shoes,Purchases,Out,,,75,01=Cash,,
MONEM67,11,7/16/2014 12:58:00,7/7/2014,,Operational Expenses,Medicines,Purchases,Out,,,75,01=Cash,,
MONEM67,11,5/12/2015 11:30:00,5/5/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,8,11/27/2014 10:05:00,11/26/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,11,8/13/2014 10:53:00,8/11/2014,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,10,01=Cash,,
MONEM67,10,10/30/2014 13:00:00,10/17/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,5,01=Cash,,
MONEM67,11,1/22/2015 9:00:00,1/17/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,30,01=Cash,,
MONEM67,11,4/4/2015 8:00:00,3/25/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,50,01=Cash,,
MONEM67,11,10/1/2014 10:00:00,10/1/2014,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,500,\N,,\N
MONEM67,8,6/25/2015 11:00:00,6/20/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,15,01=Cash,,
MONEM67,10,8/29/2014 11:00:00,8/20/2014,,Operational Expenses,"Gas (for cooking), paraffin, charcoal, etc.",Purchases,Out,,,40,01=Cash,,
MONEM67,8,7/31/2014 12:50:00,7/20/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,20,01=Cash,,
MONEM67,8,1/22/2015 9:00:00,1/15/2015,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,5,01=Cash,,
MONEM67,8,8/29/2014 11:00:00,8/23/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,10,01=Cash,,
MONEM67,11,2/5/2015 8:40:00,2/5/2015,,Cash,Cash on hand now,Cash on hand now (end of period),Out,,,100,\N,2kg de amendoim,30
MONEM67,8,8/29/2014 11:00:00,8/25/2014,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,10,01=Cash,,
MONEM67,11,4/4/2015 8:00:00,3/27/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,8,2/5/2015 8:40:00,1/26/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,20,01=Cash,,
MONEM67,8,6/25/2015 11:00:00,6/10/2015,,Operational Expenses,Groceries/food to be eaten at home (include baby food),Purchases,Out,,,25,01=Cash,,
MONEM67,11,5/12/2015 11:30:00,5/8/2015,,Operational Expenses,Cigarettes and smoking supplies,Purchases,Out,,,20,01=Cash,,
